host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_CONTROL out	
1.16.0	URB_CONTROL out	
host	URB_BULK out	4869574f5558554e02
1.16.1	URB_BULK out	
1.16.1	URB_BULK in	06
host	URB_BULK in	
1.16.1	URB_BULK in	06
host	URB_BULK in	
1.16.1	URB_BULK in	4b
host	URB_BULK in	
1.16.1	URB_BULK in	47
host	URB_BULK out	02
host	URB_BULK in	
1.16.1	URB_BULK out	
host	URB_CONTROL in	
1.16.1	URB_BULK in	36
1.16.0	URB_CONTROL in	
host	URB_BULK in	
1.16.1	URB_BULK in	36
host	URB_BULK in	
1.16.1	URB_BULK in	39
host	URB_BULK in	
1.16.1	URB_BULK in	56
host	URB_BULK in	
1.16.1	URB_BULK in	f8
host	URB_BULK in	
host	URB_BULK out	06
1.16.1	URB_BULK out	
1.16.1	URB_BULK in	06
host	URB_BULK in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
host	URB_BULK out	52001040
1.16.1	URB_BULK out	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
1.16.1	URB_BULK in	57
host	URB_BULK in	
1.16.1	URB_BULK in	00
host	URB_BULK in	
1.16.1	URB_BULK in	10
host	URB_BULK in	
1.16.1	URB_BULK in	40
host	URB_BULK in	
host	URB_CONTROL in	
1.16.0	URB_CONTROL in	
1.16.1	URB_BULK in	50
host	URB_BULK in	
1.16.1	URB_BULK in	62
host	URB_BULK in	
1.16.1	URB_BULK in	25
host	URB_BULK in	
1.16.1	URB_BULK in	46
host	URB_BULK in	
1.16.1	URB_BULK in	50
host	URB_BULK in	
1.16.1	URB_BULK in	62
host	URB_BULK in	
1.16.1	URB_BULK in	25
host	URB_BULK in	
1.16.1	URB_BULK in	46
host	URB_BULK in	
1.16.1	URB_BULK in	ff
host	URB_BULK in	
