host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL out	
1.4.0	URB_CONTROL out	
host	URB_BULK out	4869574f5558554e02
1.4.1	URB_BULK out	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	02
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
1.4.1	URB_BULK in	4b
host	URB_BULK in	
1.4.1	URB_BULK in	47
host	URB_BULK in	
1.4.1	URB_BULK in	36
host	URB_BULK in	
1.4.1	URB_BULK in	36
host	URB_BULK in	
1.4.1	URB_BULK in	39
host	URB_BULK in	
1.4.1	URB_BULK in	56
host	URB_BULK in	
1.4.1	URB_BULK in	f8
host	URB_BULK in	
host	URB_BULK out	06
1.4.1	URB_BULK out	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	52097040
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	57
host	URB_BULK in	
1.4.1	URB_BULK in	09
host	URB_BULK in	
1.4.1	URB_BULK in	70
host	URB_BULK in	
1.4.1	URB_BULK in	40
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	17
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	17
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	17
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	7b
host	URB_BULK in	
1.4.1	URB_BULK in	17
host	URB_BULK in	
1.4.1	URB_BULK in	ab
host	URB_BULK in	
1.4.1	URB_BULK in	a7
host	URB_BULK in	
1.4.1	URB_BULK in	73
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	72
host	URB_BULK in	
1.4.1	URB_BULK in	a7
host	URB_BULK in	
1.4.1	URB_BULK in	7a
host	URB_BULK in	
1.4.1	URB_BULK in	70
host	URB_BULK in	
1.4.1	URB_BULK in	70
host	URB_BULK in	
1.4.1	URB_BULK in	7a
host	URB_BULK in	
1.4.1	URB_BULK in	7a
host	URB_BULK in	
1.4.1	URB_BULK in	70
host	URB_BULK in	
1.4.1	URB_BULK in	7f
host	URB_BULK in	
1.4.1	URB_BULK in	19
host	URB_BULK in	
1.4.1	URB_BULK in	70
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	ff
host	URB_BULK in	
1.4.1	URB_BULK in	a2
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
host	URB_CONTROL in	
1.4.1	URB_BULK in	77
1.4.0	URB_CONTROL in	
host	URB_BULK in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	a2
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	17
host	URB_BULK in	
1.4.1	URB_BULK in	c8
host	URB_BULK in	
1.4.1	URB_BULK in	a2
host	URB_BULK in	
1.4.1	URB_BULK in	77
host	URB_BULK in	
1.4.1	URB_BULK in	b7
host	URB_BULK in	
1.4.1	URB_BULK in	7e
host	URB_BULK in	
host	URB_BULK out	06
1.4.1	URB_BULK out	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	57001010
1.4.1	URB_BULK out	
host	URB_BULK out	5062254650622546ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	57002010
1.4.1	URB_BULK out	
host	URB_BULK out	5087254650872546ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	57003010
1.4.1	URB_BULK out	
host	URB_BULK out	5012264650122646ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_BULK out	57004010
1.4.1	URB_BULK out	
host	URB_BULK out	5037264650372646ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_BULK out	57005010
1.4.1	URB_BULK out	
host	URB_BULK out	5062264650622646ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
1.4.1	URB_BULK in	06
host	URB_BULK in	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
host	URB_BULK out	57006010
1.4.1	URB_BULK out	
host	URB_BULK out	5087264650872646ffffffff95ffffff
1.4.1	URB_BULK out	
host	URB_CONTROL in	
1.4.0	URB_CONTROL in	
